Truck ID,Quarter,Year,New_or_Used,Sale_Price,List_Price,Pct_of_List,Book_Value,Type,Truck_Manufacturer,Region_Nm,Condition,Model_Year,Odometer,Model,Transmission_Type,Engine_Manufacturer,Fuel_Type,Wheelbase_Size,Gear_Ratio,Num_Axles,Num_Wheels,Front_Tire_Size,Rear_Tire_Size,Color,Delivery_Region,Channel,Delivery_Location,Age_Yrs,Rear_Axle_Weight,front_axle_wt,Horsepower,Engine_RPM,eng_est_life,Engine_Type
101,Q2,2020,NEW,48501,39000,0.804107132,48151.47,Tractor,Freightliner,RVS UTC Central US RGN,Ready,2012,299952,CASCADIA 125,Auto Shift,DETR,Diesel,194,3.58,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Houston,6,40000,12000,505,1800,850000,IN LINE
103,Q2,2020,NEW,10080,1305,0.129464286,5088.2,Truck,Freightliner,RVS UTC EAST REGION,As Is,2005,196337,M2 106,Auto,CAT,Diesel,150,5.86,2,6,295/75R 22.5 (R250F),295/75R 22.5 (M726),WHITE,Western US,Retail,Seattle,11+,17500,8000,190,2300,240000,IN LINE
104,Q2,2020,NEW,38830,34500,0.888488282,20193.28,Truck,Freightliner,RVS UTC EAST REGION,Ready,2011,145675,M2 106,Auto,CUMM,Diesel,224,3.58,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Retail,Knoxville,7,21000,12000,270,2000,280000,IN LINE
105,Q2,2020,NEW,10482,3805,0.363003244,14470.81,Truck,International,RVS UTC EAST REGION,As Is,2012,322079,4300,Auto,INTL,Diesel,254,5.57,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Retail,Oxford,6,19000,10000,215,2200,240000,IN LINE
106,Q2,2020,NEW,31033,20250,0.652531177,28847.86,Tractor,Freightliner,RVS UTC EAST REGION,Validated,2012,349507,CASCADIA 125,Manual,DETR,Diesel,185,3.55,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Fleet,Philadelphia,6,40000,12000,450,1800,750000,IN LINE
107,Q2,2020,NEW,42150,25000,0.59311981,31695.79,Truck,Freightliner,RVS UTC Western US REGION,Ready,2012,135125,M2 106,Auto,CUMM,Diesel,255,5.29,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Fleet,Golden,6,17500,10000,240,2300,240000,IN LINE
108,Q2,2020,NEW,11999,11999,1,11649.52,Tractor,International,RVS UTC Western US REGION,Validated,2012,229199,8600,Manual,INTL,Diesel,146,3.58,2,6,295/75R22.5 14P R287,295/75R 22.5 M720FE,WHITE,Western US,Retail,Pueblo,6,23000,12000,330,1700,700000,IN LINE
109,Q2,2020,NEW,4918,1305,0.265351769,5283.53,Truck,International,RVS UTC EAST REGION,As Is,2005,302900,4300,Auto,INTL,Diesel,217,5.29,2,6,295/75R 22.5 (R250F),295/75R 22.5 (M726),WHITE,Western US,Retail,Seattle,11+,21000,9000,220,2600,240000,IN LINE
110,Q2,2020,NEW,8190,1500,0.183150183,6369.71,Truck,Isuzu,RVS UTC EAST REGION,As Is,2005,189178,NPR HD,Auto,ISUZ,Diesel,150,5.12,2,6,LT215/85R 16P R187,LT215/85R 16P R187,WHITE,Western US,Retail,Los Angeles,11+,11020,6830,190,2600,200000,IN LINE
111,Q2,2020,NEW,11999,2405,0.200433369,17645.38,Tractor,International,RVS UTC EAST REGION,As Is,2012,179155,8600,Manual,INTL,Diesel,146,3.58,2,6,295/75R22.5 R260F,295/75R 22.5 (R250F),WHITE,Central US,Retail,New Orleans,6,23000,12000,330,1700,700000,IN LINE
