,Sale_Price,List_Price,Pct_of_List,Book_Value,Model_Year,Odometer,Wheelbase_Size,Gear_Ratio,Num_Axles,Num_Wheels,Rear_Axle_Weight,front_axle_wt,Horsepower,Engine_RPM,eng_est_life
0,48501,39000.0,0.804107132,48151.47,2012.0,299952.0,194,3.58,3.0,10.0,40000.0,12000.0,505.0,1800.0,850000.0
1,10080,1305.0,0.129464286,5088.2,2005.0,196337.0,150,5.86,2.0,6.0,17500.0,8000.0,190.0,2300.0,240000.0
2,38830,34500.0,0.888488282,20193.28,2011.0,145675.0,224,3.58,2.0,6.0,21000.0,12000.0,270.0,2000.0,280000.0
3,10482,3805.0,0.363003244,14470.81,2012.0,322079.0,254,5.57,2.0,6.0,19000.0,10000.0,215.0,2200.0,240000.0
4,31033,20250.0,0.652531177,28847.86,2012.0,349507.0,185,3.55,3.0,10.0,40000.0,12000.0,450.0,1800.0,750000.0
5,42150,25000.0,0.59311981,31695.79,2012.0,135125.0,255,5.29,2.0,6.0,17500.0,10000.0,240.0,2300.0,240000.0
6,11999,11999.0,1.0,11649.52,2012.0,229199.0,146,3.58,2.0,6.0,23000.0,12000.0,330.0,1700.0,700000.0
7,4918,1305.0,0.265351769,5283.53,2005.0,302900.0,217,5.29,2.0,6.0,21000.0,9000.0,220.0,2600.0,240000.0
8,8190,1500.0,0.183150183,6369.71,2005.0,189178.0,150,5.12,2.0,6.0,11020.0,6830.0,190.0,2600.0,200000.0
9,11999,2405.0,0.200433369,17645.38,2012.0,179155.0,146,3.58,2.0,6.0,23000.0,12000.0,330.0,1700.0,700000.0
10,20999,2405.0,0.114529263,45485.67,2012.0,267974.0,187,3.36,3.0,10.0,40000.0,12000.0,475.0,1700.0,850000.0
11,18239,11000.0,0.60310324,17860.3,2011.0,185096.0,150,5.12,2.0,6.0,14550.0,6830.0,205.0,2400.0,200000.0
12,29486,25000.0,0.847860001,19615.42,2012.0,468985.0,230,3.36,3.0,10.0,40000.0,12350.0,430.0,1700.0,850000.0
13,19995,17600.0,0.880220055,19615.91,2012.0,455357.0,230,3.36,3.0,10.0,40000.0,12350.0,430.0,1700.0,850000.0
14,33121,25000.0,0.754808128,19615.62,2012.0,501653.0,230,3.36,3.0,10.0,40000.0,12350.0,430.0,1700.0,850000.0
15,20999,19000.0,0.904804991,40694.62,2012.0,163558.0,187,3.36,3.0,10.0,40000.0,12000.0,475.0,1700.0,850000.0
16,50953,35667.0,0.699998037,25122.34,2012.0,342946.0,264,3.55,3.0,10.0,40000.0,12000.0,270.0,2000.0,280000.0
17,14602,1805.0,0.123613204,1499.01,2005.0,106980.0,138,4.1,2.0,6.0,12000.0,12000.0,185.0,2500.0,240000.0
18,23400,18000.0,0.769230769,23021.78,2012.0,374713.0,280,3.9,2.0,6.0,21000.0,10000.0,250.0,2300.0,240000.0
19,35935,38935.0,1.083484068,34142.27,2012.0,428247.0,185,3.55,3.0,10.0,40000.0,12000.0,450.0,1800.0,750000.0
20,16249,3805.0,0.234168257,20547.59,2012.0,190100.0,254,4.11,2.0,6.0,21000.0,12000.0,245.0,2200.0,280000.0
21,32221,19000.0,0.58967754,21370.43,2013.0,161447.0,176,5.57,2.0,6.0,14550.0,7270.0,215.0,2500.0,200000.0
22,29077,26205.0,0.901227775,28232.87,2013.0,677271.0,182,2.64,3.0,10.0,40000.0,12500.0,425.0,1750.0,850000.0
23,34059,30705.0,0.901523826,32822.52,2013.0,679688.0,182,2.64,3.0,10.0,40000.0,12500.0,425.0,1750.0,850000.0
24,32379,29155.0,0.900429291,31479.13,2013.0,614618.0,182,2.64,3.0,10.0,40000.0,12500.0,425.0,1750.0,850000.0
25,12205,3305.0,0.27079066,17338.77,2009.0,259317.0,217,4.88,2.0,6.0,17500.0,8000.0,210.0,2300.0,240000.0
26,28133,14750.0,0.524295312,18399.54,2013.0,320610.0,270,4.78,2.0,6.0,17500.0,10000.0,240.0,2300.0,240000.0
27,34445,26000.0,0.754826535,31854.65,2013.0,597434.0,218,2.47,3.0,10.0,40000.0,13300.0,400.0,1800.0,850000.0
