,prediction,test
0,[25202.57],[29984.]
1,[24600.238],[27400.]
2,[24793.115],[23800.]
3,[30151.842],[45530.]
4,[32273.012],[30250.]
5,[20654.74],[31308.]
6,[20864.512],[10000.]
7,[16087.7295],[12244.]
8,[45210.758],[43334.]
9,[29062.092],[28464.]
10,[23965.436],[23995.]
11,[11167.575],[5997.]
12,[29095.81],[28568.]
13,[19219.32],[24095.]
14,[19660.389],[14224.]
15,[49661.],[50500.]
16,[27081.531],[25801.]
17,[25572.95],[25895.]
18,[22431.705],[24221.]
19,[28832.115],[26947.]
20,[33846.89],[42502.]
21,[21458.38],[20548.]
22,[7603.3164],[2499.]
23,[31290.184],[27751.]
24,[28758.139],[27490.]
25,[19182.77],[28500.]
26,[39737.72],[48025.]
27,[25496.512],[21625.]
28,[28910.246],[32881.]
29,[23256.36],[18275.]
30,[16153.376],[21190.]
31,[37229.496],[33704.]
32,[28114.797],[28956.]
33,[13182.076],[10999.]
34,[34437.227],[39656.]
35,[31978.295],[27852.]
36,[50583.88],[55000.]
37,[13449.462],[10999.]
38,[18309.605],[16263.]
39,[19531.574],[17158.]
40,[14996.721],[16144.]
41,[7418.4736],[3534.]
42,[24601.932],[24565.]
43,[27544.64],[29650.]
44,[20159.344],[16718.]
45,[26323.525],[24727.]
46,[31518.486],[26741.]
47,[47951.832],[50825.]
48,[28943.438],[38208.]
49,[28540.062],[31966.]
50,[19970.67],[19825.]
51,[21099.004],[18293.]
52,[31565.209],[36266.]
53,[32546.326],[30724.]
54,[25343.002],[22606.]
55,[25245.615],[25480.]
56,[21653.371],[20748.]
57,[26439.371],[29623.]
58,[20798.725],[23720.]
59,[35425.29],[43837.]
60,[31775.377],[37825.]
61,[28313.67],[29571.]
62,[31310.082],[34901.]
63,[36348.656],[33263.]
64,[35567.75],[37055.]
65,[18513.51],[20297.]
66,[26893.293],[27230.]
67,[35131.64],[31261.]
68,[42363.395],[40985.]
69,[6713.81],[3644.]
70,[34473.367],[40592.]
71,[24063.516],[19995.]
72,[23952.28],[13447.]
73,[17745.898],[18000.]
74,[24117.924],[23188.]
75,[20444.732],[19093.]
76,[35272.297],[33787.]
77,[30567.678],[31444.]
78,[23224.56],[29750.]
79,[20792.816],[10999.]
80,[36507.406],[37609.]
81,[19469.877],[22873.]
82,[42837.6],[42996.]
83,[37133.004],[32750.]
84,[33305.656],[35073.]
85,[25386.078],[28815.]
86,[18147.83],[6997.]
87,[20719.36],[22151.]
88,[38483.49],[38000.]
89,[33136.42],[41656.]
90,[22484.736],[24876.]
91,[11827.739],[6666.]
92,[24925.348],[24457.]
93,[25229.486],[25510.]
94,[26588.383],[38593.]
95,[7700.284],[1497.]
96,[20989.09],[18871.]
97,[14323.326],[11439.]
98,[33356.17],[42140.]
99,[26591.932],[26319.]
100,[37630.848],[43150.]
101,[29282.674],[42767.]
102,[18476.709],[23995.]
103,[38046.453],[38576.]
104,[21086.117],[18762.]
105,[7694.623],[8302.]
106,[25481.89],[25344.]
107,[27172.432],[32392.]
108,[22783.7],[18999.]
109,[24935.422],[22684.]
110,[14071.996],[14148.]
111,[26978.29],[25437.]
112,[30507.658],[25760.]
113,[13235.975],[10999.]
114,[30123.42],[34277.]
115,[33950.01],[40458.]
116,[22652.46],[21068.]
117,[33873.965],[35971.]
118,[26547.127],[25791.]
119,[24968.225],[21162.]
120,[25052.541],[25233.]
121,[30929.023],[42643.]
122,[26842.5],[22724.]
123,[33785.574],[36300.]
124,[28392.232],[29370.]
125,[20825.264],[24125.]
126,[21429.248],[24915.]
127,[27560.936],[22440.]
128,[46157.684],[46306.]
129,[25006.566],[24748.]
130,[24613.281],[27739.]
131,[20570.285],[18000.]
132,[24645.756],[21692.]
133,[35382.31],[42135.]
134,[24543.293],[24312.]
135,[33621.94],[35355.]
136,[33020.617],[33307.]
137,[38975.13],[41147.]
138,[42473.117],[39950.]
139,[15831.506],[20999.]
140,[41924.527],[30427.]
141,[28413.953],[41900.]
142,[21439.604],[11999.]
143,[30840.93],[38939.]
144,[39309.26],[39537.]
145,[31952.09],[38606.]
146,[59389.34],[75000.]
147,[24121.389],[39972.]
148,[28173.342],[31261.]
149,[20917.691],[16976.]
150,[26481.459],[25734.]
151,[27939.432],[27671.]
152,[28217.99],[24825.]
153,[22016.473],[18442.]
154,[30136.73],[38378.]
155,[38589.496],[36108.]
156,[38236.652],[50500.]
157,[14843.81],[21270.]
158,[27361.521],[35085.]
159,[24264.5],[20210.]
160,[25461.676],[19569.]
161,[4281.1885],[5243.]
162,[26072.744],[26911.]
163,[29121.895],[23595.]
164,[20379.85],[6357.]
165,[35425.312],[46189.]
166,[32928.88],[31957.]
167,[23370.264],[27065.]
168,[48868.156],[47929.]
169,[20769.996],[24488.]
170,[28212.709],[31136.]
171,[28694.283],[27950.]
172,[8488.647],[3595.]
173,[33172.848],[31177.]
174,[25335.23],[30750.]
175,[30542.795],[36749.]
176,[5704.132],[13930.]
177,[21607.896],[23715.]
178,[19106.814],[19708.]
179,[17292.898],[15637.]
180,[11678.5],[10999.]
181,[6900.8223],[2882.]
182,[25283.73],[30470.]
183,[17968.855],[13062.]
184,[18570.863],[15719.]
185,[29554.129],[36945.]
186,[38881.098],[43400.]
187,[14729.245],[11999.]
188,[30052.02],[28245.]
189,[22632.043],[29491.]
190,[28500.025],[35187.]
191,[29920.57],[23999.]
192,[27158.709],[26639.]
193,[25365.82],[34282.]
194,[47767.95],[39978.]
195,[22644.549],[21249.]
196,[27899.875],[32900.]
197,[34519.77],[34628.]
198,[15197.702],[10000.]
199,[20202.744],[16680.]
200,[39834.934],[39662.]
201,[18319.373],[21037.]
202,[37823.605],[38448.]
203,[30097.797],[35923.]
204,[35728.844],[32500.]
205,[38381.926],[45627.]
206,[28142.729],[27965.]
207,[18644.006],[13285.]
208,[41059.566],[43638.]
209,[21363.68],[5500.]
210,[25139.143],[22314.]
211,[43489.04],[45111.]
212,[24168.488],[22852.]
213,[24561.254],[21270.]
214,[37512.355],[42134.]
215,[7499.509],[1664.]
216,[26851.508],[22543.]
217,[27613.188],[25628.]
218,[35183.336],[32640.]
219,[35531.348],[36591.]
220,[28701.326],[31240.]
221,[39909.22],[39768.]
222,[40201.242],[41881.]
223,[44140.535],[42500.]
224,[24155.418],[18841.]
225,[34555.812],[32236.]
226,[31774.13],[29112.]
227,[37606.027],[35016.]
228,[34296.105],[35000.]
229,[23101.94],[38690.]
230,[29103.686],[42650.]
231,[24571.775],[23000.]
232,[19367.51],[19420.]
233,[36497.383],[46086.]
234,[34612.82],[36762.]
235,[37478.633],[36825.]
236,[17523.025],[6000.]
237,[21169.805],[23690.]
238,[26605.371],[25431.]
239,[13357.637],[8000.]
240,[26633.734],[29431.]
241,[16060.693],[4597.]
242,[3944.3816],[2128.]
243,[27074.74],[23200.]
244,[25901.055],[23230.]
245,[26364.297],[24140.]
246,[43895.4],[43590.]
247,[18655.078],[12000.]
248,[31652.936],[38500.]
249,[27640.861],[31500.]
250,[28650.969],[28862.]
251,[26789.613],[24352.]
252,[15872.052],[15562.]
253,[27781.396],[29047.]
254,[17879.488],[19200.]
255,[36615.863],[35555.]
256,[30124.734],[33758.]
257,[40984.49],[40699.]
258,[20468.303],[15855.]
259,[22249.748],[20475.]
260,[25842.566],[31033.]
261,[30124.229],[32443.]
262,[44228.926],[43335.]
263,[10716.566],[7500.]
264,[30106.66],[22853.]
265,[38252.06],[46000.]
266,[33439.547],[42414.]
267,[23596.291],[24400.]
268,[30879.969],[25559.]
269,[29557.701],[40594.]
270,[23563.438],[18999.]
271,[26063.402],[28332.]
272,[17073.295],[5555.]
273,[14225.787],[10219.]
274,[33983.133],[34332.]
275,[29476.855],[34776.]
276,[48415.574],[38107.]
277,[40683.58],[42860.]
278,[28956.773],[35170.]
279,[9892.426],[8999.]
280,[26279.934],[26507.]
281,[28364.494],[35062.]
282,[18582.715],[14029.]
283,[20448.203],[19995.]
284,[31009.205],[36386.]
285,[10541.618],[11343.]
286,[42199.055],[40243.]
287,[33119.227],[33424.]
288,[18693.934],[10999.]
289,[32024.443],[30352.]
290,[20884.725],[19846.]
291,[33987.176],[40194.]
292,[33691.938],[40714.]
293,[20968.326],[34482.]
294,[10893.231],[11270.]
295,[22460.98],[21728.]
296,[23363.111],[34108.]
297,[36209.598],[36988.]
298,[18023.729],[15785.]
299,[21133.553],[21445.]
300,[38577.914],[42115.]
301,[21095.355],[18479.]
302,[28107.576],[40576.]
303,[21721.062],[30775.]
304,[30445.932],[34400.]
305,[21931.896],[18034.]
306,[22150.148],[16392.]
307,[25751.965],[25327.]
308,[21268.904],[24192.]
309,[34980.758],[40807.]
310,[18145.178],[22753.]
311,[24600.705],[23290.]
312,[51138.49],[60500.]
313,[20250.105],[21250.]
314,[21220.66],[16004.]
315,[34947.168],[35346.]
316,[20083.676],[17799.]
317,[38514.527],[40450.]
318,[18995.672],[14451.]
319,[14459.445],[9499.]
320,[42348.188],[41576.]
321,[45119.027],[45358.]
322,[21202.],[24567.]
323,[37442.957],[37894.]
324,[27122.742],[26390.]
325,[11052.367],[8406.]
326,[26864.113],[23955.]
327,[27879.959],[28888.]
328,[28640.984],[27811.]
329,[37926.164],[43997.]
330,[18745.516],[16666.]
331,[18493.13],[15532.]
332,[41159.72],[42301.]
333,[26440.459],[21878.]
334,[28537.967],[36295.]
335,[7501.0605],[4225.]
336,[25754.809],[23035.]
337,[28504.63],[33900.]
338,[39240.406],[41182.]
339,[25859.447],[21165.]
340,[19744.56],[15722.]
341,[33910.78],[37683.]
342,[44564.543],[54622.]
343,[26620.908],[25273.]
344,[26179.592],[10955.]
345,[14067.581],[11999.]
346,[37341.465],[35500.]
347,[34947.953],[30878.]
348,[27202.512],[27327.]
349,[17671.379],[21954.]
350,[35933.12],[37771.]
351,[19353.066],[21090.]
352,[20278.318],[19700.]
353,[53638.344],[62400.]
354,[26417.104],[26005.]
355,[26359.414],[26060.]
356,[43535.727],[44303.]
357,[19819.146],[16575.]
358,[30512.527],[30131.]
359,[24273.324],[21430.]
360,[39173.945],[39000.]
361,[15593.682],[8000.]
362,[20324.373],[31802.]
363,[26430.734],[21192.]
364,[29532.107],[31350.]
365,[26739.13],[28394.]
366,[36433.617],[37037.]
367,[28099.143],[33621.]
368,[36630.82],[38929.]
369,[17811.988],[14500.]
370,[29802.299],[34984.]
371,[31553.965],[25775.]
372,[32963.97],[40038.]
373,[33625.023],[41453.]
374,[43520.016],[49500.]
375,[38193.902],[44796.]
376,[19941.01],[18615.]
377,[24115.332],[38202.]
378,[25719.406],[29500.]
379,[22216.018],[21045.]
380,[6436.1455],[1954.]
381,[23814.818],[19521.]
382,[24990.924],[30820.]
383,[26684.219],[27492.]
384,[25499.053],[31594.]
385,[20063.531],[20693.]
386,[27929.08],[19313.]
387,[21556.115],[32074.]
388,[27638.396],[24824.]
389,[30394.244],[28967.]
390,[11817.509],[12475.]
391,[39386.965],[42807.]
392,[18779.65],[17093.]
393,[18528.83],[21308.]
394,[25174.518],[19319.]
395,[32215.795],[30275.]
396,[20398.611],[19562.]
397,[18641.605],[24310.]
398,[28246.781],[28100.]
399,[19207.047],[20191.]
400,[30186.314],[34417.]
401,[34928.52],[37899.]
402,[17513.146],[21590.]
403,[39474.203],[42650.]
404,[27270.346],[24078.]
405,[28423.906],[14951.]
406,[29746.94],[26739.]
407,[21788.994],[20999.]
408,[34577.098],[32852.]
409,[34183.824],[37245.]
410,[32762.828],[29444.]
411,[28534.535],[24107.]
412,[42620.215],[39781.]
413,[23043.79],[20306.]
414,[17730.457],[19070.]
415,[33139.832],[40870.]
416,[6746.234],[4167.]
417,[27696.627],[22919.]
418,[35181.836],[33349.]
419,[15973.36],[17560.]
420,[23847.945],[24149.]
421,[23159.03],[6500.]
422,[17143.52],[16745.]
423,[25836.754],[30966.]
424,[20013.256],[24327.]
425,[18830.727],[19303.]
426,[26191.16],[21314.]
427,[24488.885],[20423.]
428,[26060.14],[24862.]
429,[18649.053],[6997.]
430,[22610.6],[28327.]
