,prediction,test
0,[43981.80859375],[33427.0]
1,[19592.708984375],[56000.0]
2,[27935.740234375],[41111.0]
3,[26261.771484375],[29877.0]
4,[25252.5234375],[42078.0]
5,[37759.43359375],[44200.0]
6,[22039.080078125],[26405.0]
7,[45290.04296875],[29307.0]
8,[8453.9921875],[28950.0]
9,[37834.88671875],[25418.0]
10,[30559.06640625],[58552.0]
11,[4357.14501953125],[32420.0]
12,[42615.48046875],[27923.0]
13,[26300.427734375],[4499.0]
14,[33021.04296875],[12507.0]
15,[8057.87109375],[23294.0]
16,[6300.22607421875],[2734.0]
17,[6751.35986328125],[17913.0]
18,[3883.818115234375],[15065.0]
19,[14491.650390625],[37203.0]
20,[16737.66796875],[40331.0]
21,[20256.001953125],[35400.0]
22,[20056.58984375],[18442.0]
23,[34302.01953125],[32515.0]
24,[26892.794921875],[31281.0]
25,[28740.564453125],[32399.0]
26,[13156.1552734375],[21426.0]
27,[14590.0380859375],[40154.0]
28,[11791.3818359375],[33900.0]
29,[11719.447265625],[11999.0]
30,[5567.77685546875],[10999.0]
31,[10019.9619140625],[41524.0]
32,[16151.876953125],[550.0]
33,[25285.642578125],[20437.0]
34,[6411.27099609375],[26668.0]
35,[28704.791015625],[27248.0]
36,[3258.424560546875],[25675.0]
37,[15964.4091796875],[21037.0]
38,[7959.00048828125],[18596.0]
39,[34767.44140625],[20999.0]
40,[6740.29150390625],[26032.0]
41,[13863.6728515625],[11999.0]
42,[12695.474609375],[37650.0]
43,[16758.123046875],[37672.0]
44,[28644.75],[23803.0]
45,[4515.91650390625],[19450.0]
46,[5981.89013671875],[10999.0]
47,[26582.224609375],[61305.0]
48,[28150.306640625],[33106.0]
49,[31881.810546875],[21289.0]
50,[42466.19921875],[33417.0]
51,[25984.373046875],[34056.0]
52,[6732.29150390625],[41147.0]
53,[8194.3173828125],[23000.0]
54,[5370.78955078125],[22000.0]
55,[7252.10888671875],[26871.0]
56,[8628.6708984375],[38000.0]
57,[4933.82080078125],[18999.0]
58,[28419.490234375],[28026.0]
59,[8252.3662109375],[42566.0]
60,[12617.8369140625],[33000.0]
61,[17654.482421875],[20000.0]
62,[20586.990234375],[16828.0]
63,[19081.841796875],[15000.0]
64,[6641.5107421875],[29693.0]
65,[29852.072265625],[12555.0]
66,[39091.41796875],[10999.0]
67,[9316.5078125],[27327.0]
68,[16660.18359375],[23000.0]
69,[21091.888671875],[49500.0]
70,[34238.59375],[40674.0]
71,[20228.392578125],[38500.0]
72,[13729.1865234375],[30522.0]
73,[26539.716796875],[40402.0]
74,[28108.728515625],[19833.0]
75,[31874.328125],[33100.0]
76,[8672.4326171875],[30900.0]
77,[7758.64892578125],[32000.0]
78,[47539.9375],[44000.0]
79,[9888.8193359375],[49680.0]
80,[26585.1875],[7995.0]
81,[16940.73046875],[42767.0]
82,[29021.95703125],[19569.0]
83,[32084.724609375],[22150.0]
84,[19831.79296875],[27413.0]
85,[42690.94140625],[25467.0]
86,[13426.3779296875],[15741.0]
87,[5471.287109375],[28091.0]
88,[26460.361328125],[7997.0]
89,[12474.1259765625],[5700.0]
90,[13894.3857421875],[28991.0]
91,[18733.455078125],[23715.0]
92,[14497.1669921875],[21717.0]
93,[21110.388671875],[44157.0]
94,[16152.2939453125],[38575.0]
95,[22832.45703125],[20788.0]
96,[6440.4814453125],[18354.0]
97,[16896.48828125],[31745.0]
98,[9655.60546875],[22214.0]
99,[20264.263671875],[27502.0]
100,[31835.52734375],[19419.0]
101,[11522.8388671875],[10999.0]
102,[9100.65625],[16575.0]
103,[3494.560302734375],[10999.0]
104,[20880.455078125],[21261.0]
105,[31659.724609375],[19630.0]
106,[19047.4453125],[25840.0]
107,[47536.48046875],[44513.0]
108,[12287.6376953125],[18999.0]
109,[25780.025390625],[11000.0]
110,[17419.396484375],[25691.0]
111,[7304.2939453125],[38600.0]
112,[17695.755859375],[44083.0]
113,[14359.61328125],[35400.0]
114,[21934.099609375],[41191.0]
115,[17427.376953125],[31365.0]
116,[4152.94091796875],[40011.0]
117,[40420.85546875],[41000.0]
118,[26090.498046875],[21898.0]
119,[15599.9580078125],[33419.0]
120,[10761.8232421875],[22405.0]
121,[24818.234375],[13847.0]
122,[9658.5126953125],[44056.0]
123,[11066.3671875],[30600.0]
124,[34651.71484375],[31742.0]
125,[9579.7529296875],[36195.0]
126,[16352.455078125],[17804.0]
127,[19871.66796875],[24057.0]
128,[8870.7197265625],[33400.0]
129,[18766.02734375],[29911.0]
130,[9613.888671875],[21627.0]
131,[16786.330078125],[1000.0]
132,[20581.166015625],[54501.0]
133,[8025.19921875],[26746.0]
134,[24381.728515625],[27250.0]
135,[9349.4287109375],[44807.0]
136,[4575.52099609375],[12329.0]
137,[22059.69140625],[25391.0]
138,[22950.791015625],[41718.0]
139,[46116.13671875],[26547.0]
140,[18158.35546875],[11666.0]
141,[21711.109375],[28237.0]
142,[10077.2255859375],[33280.0]
143,[12100.5791015625],[41754.0]
144,[24734.076171875],[21440.0]
145,[4335.73583984375],[11350.0]
146,[7021.55908203125],[20999.0]
147,[46569.890625],[34387.0]
148,[10081.1220703125],[44231.0]
149,[10508.7177734375],[14949.0]
150,[14386.3720703125],[40823.0]
151,[22818.494140625],[40434.0]
152,[16470.208984375],[24652.0]
153,[36765.9296875],[24862.0]
154,[12746.689453125],[32451.0]
155,[26507.982421875],[37796.0]
156,[10571.5888671875],[20122.0]
157,[38311.4453125],[24977.0]
158,[11857.0234375],[27490.0]
159,[3185.734619140625],[36295.0]
160,[9762.689453125],[40650.0]
161,[41453.953125],[43634.0]
162,[22371.53515625],[38000.0]
163,[15750.3798828125],[28140.0]
164,[31155.7734375],[29192.0]
165,[8522.4775390625],[34210.0]
166,[32972.66015625],[23300.0]
167,[15920.34765625],[400.0]
168,[27211.568359375],[40390.0]
169,[15063.9296875],[17325.0]
170,[32071.279296875],[10950.0]
171,[15699.92578125],[36500.0]
172,[15416.455078125],[7000.0]
173,[9786.515625],[10999.0]
174,[30832.865234375],[43626.0]
175,[9981.7001953125],[6000.0]
176,[27245.236328125],[29452.0]
177,[11564.0283203125],[39593.0]
178,[43541.83984375],[32015.0]
179,[38740.32421875],[30930.0]
180,[36147.7265625],[11111.0]
181,[27982.134765625],[15238.0]
182,[14460.7431640625],[24750.0]
183,[30069.404296875],[30412.0]
184,[61244.77734375],[47187.0]
185,[13606.1865234375],[30204.0]
186,[36655.07421875],[43513.0]
187,[15905.3935546875],[26682.0]
188,[14137.681640625],[23000.0]
189,[6373.90283203125],[31016.0]
190,[23455.517578125],[23000.0]
191,[26986.638671875],[21510.0]
192,[24949.435546875],[31404.0]
193,[14254.5634765625],[29240.0]
194,[29559.283203125],[18507.0]
195,[23462.509765625],[39378.0]
196,[9184.1513671875],[28600.0]
197,[8118.22802734375],[34650.0]
198,[38952.0078125],[33787.0]
199,[11302.4736328125],[25627.0]
200,[2855.839111328125],[1200.0]
201,[6661.27587890625],[11000.0]
202,[7651.25439453125],[12773.0]
203,[35632.28515625],[26690.0]
204,[5215.330078125],[19868.0]
205,[12468.7568359375],[33363.0]
206,[12815.7724609375],[11999.0]
207,[6014.55224609375],[39152.0]
208,[28744.03515625],[5555.0]
209,[4726.81005859375],[11465.0]
210,[38065.60546875],[2499.0]
211,[8135.90771484375],[19995.0]
212,[10566.4482421875],[13999.0]
213,[10983.642578125],[40548.0]
214,[6519.060546875],[26734.0]
215,[3137.023193359375],[28112.0]
216,[26789.03515625],[24276.0]
217,[11477.5556640625],[23000.0]
218,[12040.3046875],[23000.0]
219,[21397.91015625],[29665.0]
220,[15927.9365234375],[4888.0]
221,[42097.89453125],[28748.0]
222,[2998.078369140625],[23500.0]
223,[17823.751953125],[25942.0]
224,[16486.34375],[36551.0]
225,[8666.7314453125],[38810.0]
