,prediction,test
0,[23222.732421875],[33427.0]
1,[16794.271484375],[56000.0]
2,[38909.265625],[41111.0]
3,[32608.74609375],[29877.0]
4,[23850.955078125],[42078.0]
5,[30660.953125],[44200.0]
6,[22595.455078125],[26405.0]
7,[36835.4921875],[29307.0]
8,[8084.6484375],[28950.0]
9,[37435.1171875],[25418.0]
10,[24515.724609375],[58552.0]
11,[5900.59814453125],[32420.0]
12,[41136.5859375],[27923.0]
13,[35508.24609375],[4499.0]
14,[34840.1171875],[12507.0]
15,[10252.5595703125],[23294.0]
16,[11760.962890625],[2734.0]
17,[9646.1630859375],[17913.0]
18,[5521.546875],[15065.0]
19,[16555.59375],[37203.0]
20,[18421.83203125],[40331.0]
21,[12658.0712890625],[35400.0]
22,[14978.9794921875],[18442.0]
23,[41552.2109375],[32515.0]
24,[25579.783203125],[31281.0]
25,[38783.0078125],[32399.0]
26,[12201.5146484375],[21426.0]
27,[12570.2802734375],[40154.0]
28,[8687.5654296875],[33900.0]
29,[10145.849609375],[11999.0]
30,[5457.06884765625],[10999.0]
31,[10843.1279296875],[41524.0]
32,[15263.548828125],[550.0]
33,[34085.296875],[20437.0]
34,[5492.33984375],[26668.0]
35,[42416.890625],[27248.0]
36,[5999.1025390625],[25675.0]
37,[19232.259765625],[21037.0]
38,[5605.74560546875],[18596.0]
39,[43247.85546875],[20999.0]
40,[8802.5703125],[26032.0]
41,[15759.77734375],[11999.0]
42,[12059.056640625],[37650.0]
43,[19339.943359375],[37672.0]
44,[27276.775390625],[23803.0]
45,[3563.97705078125],[19450.0]
46,[8424.3349609375],[10999.0]
47,[45085.453125],[61305.0]
48,[28431.830078125],[33106.0]
49,[25354.845703125],[21289.0]
50,[38305.125],[33417.0]
51,[21866.103515625],[34056.0]
52,[7243.40087890625],[41147.0]
53,[9283.7958984375],[23000.0]
54,[1068.43359375],[22000.0]
55,[2828.825927734375],[26871.0]
56,[15001.53515625],[38000.0]
57,[5393.29638671875],[18999.0]
58,[38393.734375],[28026.0]
59,[9418.1669921875],[42566.0]
60,[20194.099609375],[33000.0]
61,[16853.02734375],[20000.0]
62,[28592.1328125],[16828.0]
63,[12558.369140625],[15000.0]
64,[3283.281982421875],[29693.0]
65,[44631.3671875],[12555.0]
66,[35534.3828125],[10999.0]
67,[11094.5888671875],[27327.0]
68,[13148.171875],[23000.0]
69,[22379.486328125],[49500.0]
70,[25620.48828125],[40674.0]
71,[28933.677734375],[38500.0]
72,[15164.6865234375],[30522.0]
73,[24943.068359375],[40402.0]
74,[22150.54296875],[19833.0]
75,[36571.24609375],[33100.0]
76,[8971.2646484375],[30900.0]
77,[10941.15234375],[32000.0]
78,[46754.29296875],[44000.0]
79,[25291.22265625],[49680.0]
80,[33016.9765625],[7995.0]
81,[18198.14453125],[42767.0]
82,[45458.1796875],[19569.0]
83,[41808.49609375],[22150.0]
84,[23554.041015625],[27413.0]
85,[41936.328125],[25467.0]
86,[14833.0126953125],[15741.0]
87,[5263.759765625],[28091.0]
88,[30573.294921875],[7997.0]
89,[10945.9501953125],[5700.0]
90,[11586.658203125],[28991.0]
91,[18602.2265625],[23715.0]
92,[18609.75390625],[21717.0]
93,[25701.998046875],[44157.0]
94,[21878.783203125],[38575.0]
95,[33950.65234375],[20788.0]
96,[8894.025390625],[18354.0]
97,[12617.0048828125],[31745.0]
98,[11458.5966796875],[22214.0]
99,[40815.84375],[27502.0]
100,[35296.04296875],[19419.0]
101,[13254.9912109375],[10999.0]
102,[10834.9296875],[16575.0]
103,[1116.9482421875],[10999.0]
104,[25210.103515625],[21261.0]
105,[27815.693359375],[19630.0]
106,[27716.638671875],[25840.0]
107,[36112.25],[44513.0]
108,[12941.6767578125],[18999.0]
109,[25681.7734375],[11000.0]
110,[22138.66015625],[25691.0]
111,[4806.06591796875],[38600.0]
112,[20863.140625],[44083.0]
113,[20544.162109375],[35400.0]
114,[16951.87109375],[41191.0]
115,[18353.587890625],[31365.0]
116,[4333.96142578125],[40011.0]
117,[45714.52734375],[41000.0]
