,prediction,test
0,31976.7475,[33427]
1,53013.62,[56000]
2,36967.215,[41111]
3,29073.2125,[29877]
4,41075.225,[42078]
5,43617.9625,[44200]
6,27569.0975,[26405]
7,30267.225,[29307]
8,27280.975,[28950]
9,27773.5575,[25418]
10,52997.11,[58552]
11,28809.4325,[32420]
12,26993.77,[27923]
13,3042.6125,[4499]
14,12065.155,[12507]
15,20255.49,[23294]
16,2813.0425,[2734]
17,20416.205,[17913]
18,20300.555,[15065]
19,38699.915,[37203]
20,40022.4125,[40331]
21,34990.0,[35400]
22,19223.585,[18442]
23,32987.8625,[32515]
24,31557.9825,[31281]
25,32677.4575,[32399]
26,21923.1375,[21426]
27,48045.0825,[40154]
28,32215.33,[33900]
29,12152.7375,[11999]
30,11123.795,[10999]
31,37524.5725,[41524]
32,550.0,[550]
33,21981.1475,[20437]
34,26690.79,[26668]
35,27136.525,[27248]
36,27114.6875,[25675]
37,20734.1775,[21037]
38,22402.45,[18596]
39,21223.8,[20999]
40,25115.155,[26032]
41,13063.6175,[11999]
42,33394.43,[37650]
43,37883.9125,[37672]
44,24317.675,[23803]
45,19545.3625,[19450]
46,11017.265,[10999]
47,52131.04,[61305]
48,27343.5275,[33106]
49,32467.0025,[21289]
50,35146.59,[33417]
51,33456.7325,[34056]
52,37494.6825,[41147]
53,22395.955,[23000]
54,22028.565,[22000]
55,28520.5025,[26871]
56,41725.35,[38000]
57,20366.7775,[18999]
58,28325.735,[28026]
59,41418.9225,[42566]
60,31889.355,[33000]
61,25625.73,[20000]
62,18511.29,[16828]
63,19640.23,[15000]
64,28475.0575,[29693]
65,15405.865,[12555]
66,11068.315,[10999]
67,23295.5325,[27327]
68,23000.0,[23000]
69,45093.67,[49500]
70,33238.23,[40674]
71,38842.885,[38500]
72,30645.14,[30522]
73,40585.8975,[40402]
74,22558.15,[19833]
75,33059.88,[33100]
76,28448.5175,[30900]
77,34658.4425,[32000]
78,43178.9675,[44000]
79,46227.315,[49680]
80,12162.7275,[7995]
81,42651.47,[42767]
82,21545.4075,[19569]
83,21626.8375,[22150]
84,28233.7725,[27413]
85,25506.0775,[25467]
86,16299.85,[15741]
87,28545.63,[28091]
88,12599.1825,[7997]
89,5700.0,[5700]
90,28782.8525,[28991]
91,26505.185,[23715]
92,22123.6575,[21717]
93,43787.0125,[44157]
94,36039.23,[38575]
95,21966.255,[20788]
96,22047.155,[18354]
97,32944.8025,[31745]
98,22481.79,[22214]
99,29858.94,[27502]
100,21608.97,[19419]
101,11152.605,[10999]
102,19087.8025,[16575]
103,11420.0375,[10999]
104,20275.6975,[21261]
105,25738.795,[19630]
106,19627.125,[25840]
107,42309.1175,[44513]
108,19152.025,[18999]
109,13164.3675,[11000]
110,25791.9175,[25691]
111,38605.4325,[38600]
112,42930.4575,[44083]
113,34017.02,[35400]
114,39543.2925,[41191]
115,28589.8125,[31365]
116,38352.0525,[40011]
117,42330.285,[41000]
118,23662.5825,[21898]
119,35259.125,[33419]
120,22405.0,[22405]
121,17229.9425,[13847]
122,42948.6,[44056]
123,29112.45,[30600]
124,25223.5175,[31742]
125,30364.995,[36195]
126,17602.9575,[17804]
127,25677.525,[24057]
